SOC,B_Vol,B_Curr
78.99998085,387.9334484,-27.1859166
78.99998082,387.929012,-27.25480581
78.99998079,387.9245798,-27.32362252
78.99998077,387.9201518,-27.3923652
78.99998074,387.9157281,-27.46103233
78.99998071,387.9113088,-27.5296224
78.99998069,387.9068941,-27.5981339
78.99998066,387.902484,-27.66656533
78.99998063,387.8980785,-27.73491523
78.99998061,387.8936779,-27.80318213
78.99998058,387.8892822,-27.87136462
78.99998055,387.8848915,-27.93946133
78.99998053,387.8805059,-28.00747091
78.9999805,387.8761254,-28.07539207
78.99998047,387.8717503,-28.14322357
78.99998044,387.8673805,-28.21096423
78.99998042,387.8630162,-28.27861293
78.99998039,387.8586574,-28.34616861
78.99998036,387.8543043,-28.41363028
78.99998033,387.8499568,-28.48099703
78.99998031,387.8456152,-28.54826802
78.99998028,387.8412794,-28.61544249
78.99998025,387.8369495,-28.68251976
78.99998022,387.8326256,-28.74949924
78.99998019,387.8283078,-28.81638041
78.99998017,387.823996,-28.88316286
78.99998014,387.8196905,-28.94984624
78.99998011,387.8153911,-29.01643032
78.99998008,387.8110979,-29.08291492
78.99998005,387.806811,-29.14929998
78.99998002,387.8025304,-29.21558553
78.99998,387.798256,-29.28177165
78.99997997,387.7939881,-29.34785854
78.99997994,387.7897264,-29.41384648
78.99997991,387.7854711,-29.47973582
78.99997988,387.7812221,-29.545527
78.99997985,387.7769795,-29.61122053
78.99997982,387.7727432,-29.676817
78.99997979,387.7685132,-29.74231706
78.99997976,387.7642895,-29.80772144
78.99997974,387.760072,-29.87303093
78.99997971,387.7558607,-29.93824637
78.99997968,387.7516557,-30.00336865
78.99997965,387.7474567,-30.06839874
78.99997962,387.7432639,-30.13333763
78.99997959,387.7390771,-30.19818634
78.99997956,387.7348963,-30.26294595
78.99997953,387.7307214,-30.32761755
78.9999795,387.7265524,-30.39220226
78.99997947,387.7223893,-30.45670122
78.99997944,387.7182318,-30.52111558
78.99997941,387.71408,-30.5854465
78.99997938,387.7099339,-30.64969513
78.99997935,387.7057932,-30.71386263
78.99997932,387.7016581,-30.77795013
78.99997929,387.6975283,-30.84195876
78.99997926,387.6934038,-30.90588963
78.99997923,387.6892846,-30.9697438
78.9999792,387.6851705,-31.03352232
78.99997917,387.6810615,-31.0972262
78.99997914,387.6769575,-31.1608564
78.99997911,387.6728585,-31.22441383
78.99997908,387.6687644,-31.28789935
78.99997905,387.6646751,-31.35131377
78.99997902,387.6605905,-31.41465784
78.99997899,387.6565107,-31.47793224
78.99997896,387.6524354,-31.54113757
78.99997893,387.6483647,-31.6042744
78.9999789,387.6442986,-31.66734317
78.99997886,387.6402369,-31.73034429
78.99997883,387.6361797,-31.79327806
78.9999788,387.6321268,-31.85614474
78.99997877,387.6280783,-31.91894445
78.99997874,387.6240342,-31.98167728
78.99997871,387.6199943,-32.04434321
78.99997868,387.6159588,-32.10694214
78.99997865,387.6119275,-32.16947388
78.99997861,387.6079004,-32.23193818
78.99997858,387.6038776,-32.29433468
78.99997855,387.5998591,-32.35666295
78.99997852,387.5958448,-32.41892247
78.99997849,387.5918348,-32.48111266
78.99997846,387.5878291,-32.54323286
78.99997842,387.5838277,-32.60528231
78.99997839,387.5798306,-32.66726021
78.99997836,387.575838,-32.72916568
78.99997833,387.5718497,-32.79099777
78.9999783,387.5678659,-32.85275547
78.99997826,387.5638865,-32.91443773
78.99997823,387.5599118,-32.97604342
78.9999782,387.5559416,-33.03757139
78.99997817,387.5519761,-33.09902043
78.99997814,387.5480154,-33.16038928
78.9999781,387.5440594,-33.22167668
78.99997807,387.5401084,-33.2828813
78.99997804,387.5361622,-33.34400182
78.99997801,387.5322211,-33.40503688
78.99997797,387.5282851,-33.46598512
78.99997794,387.5243543,-33.52684518
78.99997791,387.5204288,-33.58761567
78.99997787,387.5165086,-33.64829522
78.99997784,387.5125938,-33.70888248
78.99997781,387.5086846,-33.76937611
78.99997778,387.504781,-33.82977476
78.99997774,387.5008831,-33.89007715
78.99997771,387.496991,-33.95028199
78.99997768,387.4931048,-34.01038806
78.99997764,387.4892246,-34.07039416
78.99997761,387.4853504,-34.13029914
78.99997758,387.4814823,-34.1901019
78.99997754,387.4776205,-34.24980138
78.99997751,387.4737649,-34.30939659
78.99997748,387.4699157,-34.36888661
78.99997744,387.466073,-34.42827056
78.99997741,387.4622367,-34.48754766
78.99997737,387.4584071,-34.54671716
78.99997734,387.4545841,-34.60577843
78.99997731,387.4507678,-34.66473086
78.99997727,387.4469583,-34.72357397
78.99997724,387.4431555,-34.78230733
78.99997721,387.4393597,-34.84093059
78.99997717,387.4355707,-34.89944349
78.99997714,387.4317887,-34.95784584
78.9999771,387.4280136,-35.01613755
78.99997707,387.4242456,-35.0743186
78.99997703,387.4204845,-35.13238904
78.999977,387.4167305,-35.19034902
78.99997697,387.4129836,-35.24819876
78.99997693,387.4092436,-35.30593854
78.9999769,387.4055108,-35.36356874
78.99997686,387.401785,-35.4210898
78.99997683,387.3980662,-35.47850223
78.99997679,387.3943545,-35.53580662
78.99997676,387.3906498,-35.5930036
78.99997672,387.3869521,-35.65009389
78.99997669,387.3832613,-35.70707823
78.99997665,387.3795775,-35.76395744
78.99997662,387.3759005,-35.82073239
78.99997658,387.3722304,-35.87740398
78.99997655,387.3685671,-35.93397315
78.99997651,387.3649105,-35.99044089
78.99997648,387.3612607,-36.04680821
78.99997644,387.3576175,-36.10307614
78.99997641,387.3539808,-36.15924574
78.99997637,387.3503507,-36.21531809
78.99997634,387.3467271,-36.27129425
78.9999763,387.3431099,-36.32717533
78.99997626,387.339499,-36.38296239
78.99997623,387.3358944,-36.43865652
78.99997619,387.332296,-36.49425879
78.99997616,387.3287037,-36.54977025
78.99997612,387.3251174,-36.60519193
78.99997609,387.3215372,-36.66052482
78.99997605,387.3179629,-36.71576991
78.99997601,387.3143944,-36.77092812
78.99997598,387.3108317,-36.82600036
78.99997594,387.3072748,-36.88098746
78.99997591,387.3037235,-36.93589025
78.99997587,387.3001778,-36.99070946
78.99997583,387.2966376,-37.04544578
78.9999758,387.2931029,-37.10009985
78.99997576,387.2895736,-37.15467225
78.99997572,387.2860497,-37.20916346
78.99997569,387.2825312,-37.26355391
78.99997565,387.2790179,-37.31787183
78.99997561,387.2755098,-37.37212514
78.99997558,387.272007,-37.42629757
78.99997554,387.2685093,-37.48036932
78.99997551,387.265018,-37.53436518
78.99997547,387.2615314,-37.58826618
78.99997543,387.2580489,-37.64208828
78.99997539,387.2545715,-37.69583382
78.99997536,387.2511005,-37.74952847
78.99997532,387.2476344,-37.80311652
78.99997528,387.2441744,-37.85662409
78.99997525,387.2407193,-37.91003444
78.99997521,387.2372691,-37.96336838
78.99997517,387.2338222,-38.01661819
78.99997513,387.2303821,-38.06976641
78.9999751,387.226947,-38.12285664
78.99997506,387.2235182,-38.17582872
78.99997502,387.2200943,-38.22871127
78.99997499,387.2166757,-38.2814804
78.99997495,387.2132636,-38.33415272
78.99997491,387.2098551,-38.38673173
78.99997487,387.2064543,-38.43924268
78.99997483,387.2030591,-38.49164726
78.9999748,387.1996711,-38.54394412
78.99997476,387.1962894,-38.59613162
78.99997472,387.1929135,-38.64820791
